"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","ShockType"
"18",0.00534452087641865,0.00538745433426954,0.0052959196350683,-8.62538517599589e-05,-0.000193804949666364,0,0.00656722283819208,0.00656722283819208,0.00476061222680045,0.00476061222680045,0.00520966578579418,0.00292684234653425,"sd_epsilon_A = 0.7","A"
"19",0.00518922952028316,0.00524927924125838,0.00512125244300525,-0.000120640637477083,-0.000271069085167872,0,0.00643554152355464,0.00643554152355464,0.00437253426090143,0.00437253426090143,0.0050006118079341,0.00278050022920753,"sd_epsilon_A = 0.7","A"
"20",0.00503038117557303,0.00510474301020798,0.00494620259659857,-0.000149393852005602,-0.000335675073112944,0,0.00629055122987812,0.00629055122987812,0.00401903662894611,0.00401903662894611,0.00479680874691852,0.00264147521774716,"sd_epsilon_A = 0.7","A"
"21",0.00486929880268794,0.00495550587211635,0.00477171126147596,-0.000173191076177005,-0.000389145379067182,0,0.00613492947433596,0.00613492947433596,0.00369685530417548,0.00369685530417547,0.00459852018754409,0.0025094014568598,"sd_epsilon_A = 0.7","A"
"22",0.00470712339255232,0.00480300929316322,0.00459857928660422,-0.000192635968520377,-0.00043283637157174,0,0.00597101638899761,0.00597101638899762,0.00340304471869692,0.00340304471869692,0.00440594332024896,0.00238393138401681,"sd_epsilon_A = 0.7","A"
"23",0.00454483477976994,0.00464850064362111,0.00442748365267646,-0.000208266011525382,-0.000467955727326719,0,0.00580085217388531,0.00580085217388531,0.00313494613712588,0.00313494613712588,0.00421921764323692,0.00226473481481597,"sd_epsilon_A = 0.7","A"
"24",0.00438327023024745,0.00449305524454183,0.00425899214403079,-0.000220559460942677,-0.00049557804566861,0,0.00562621059544357,0.00562621059544357,0.00289015919985638,0.00289015919985638,0.00403843268509571,0.00215149807407517,"sd_epsilon_A = 0.7","A"
"25",0.00422314103440666,0.00433759606379656,0.00409357642942054,-0.000229941579403642,-0.000516658854975029,0,0.00544862893872678,0.00544862893872678,0.00266651631683045,0.00266651631683045,0.00386363485194753,0.00204392317037141,"sd_epsilon_A = 0.7","A"
"26",0.00406504731342792,0.00418291130526162,0.00393162371792999,-0.000236790227386327,-0.000532047175081997,0,0.00526943477989607,0.00526943477989607,0.00246205962488161,0.00246205962488161,0.0036948334923988,0.00194172701185284,"sd_epsilon_A = 0.7","A"
"27",0.00390949122469916,0.00402967010998174,0.00377344713924208,-0.000241440877136357,-0.000542496783130854,0,0.00508976990814303,0.00508976990814304,0.00227502025067892,0.00227502025067892,0.00353200626388703,0.0018446406612602,"sd_epsilon_A = 0.7","A"
